Zeit,bitcoin
1728954344525,65904.9112208495
1728958055250,65825.96343004808
1728962193065,65711.34562327311
1728964972028,65338.222041026886
1728969198390,65431.766117443636
1728972418781,65294.846140586946
1728976286891,65733.36336511363
1728980020807,65671.25219234676
1728982901525,65717.55741074623
1728987140393,65557.08136029403
1728990348038,65722.51709768942
1728993954976,65498.32169106501
1728997532418,65786.85089754505
1729001840676,67435.51023225303
1729004754770,65317.169767082625
1729008999445,66387.46292496128
1729011930600,66896.13645924987
1729015625351,67048.20508138103
1729019143695,66949.77779889802
1729023291154,67010.28987674638
1729026154290,66639.38438219632
1729030243716,66450.1225778925
1729033976684,66750.55455383111
1729037800107,66898.7706568905
1729040973359,66900.79367581787
1729044822237,67464.22947477242
1729048629139,67152.4915782624
1729052171369,67197.34601083359
1729055140244,66993.32242970717
1729059029364,67139.01701632337
1729062562308,66941.27307550593
1729065945219,66982.93494985857
1729069614926,67160.76003468232
1729073365300,67366.61373859533
1729076769046,67712.81424751118
1729080284491,67802.35067885563
1729084750209,67741.50537542607
1729088072251,67899.28204498948
1729091917600,67719.5946762508
1729095525867,67649.05152894293
1729098143592,67793.65273954398
1729102547868,67936.53148981073
1729105939442,67902.99553172094
1729109536241,67896.74017797409
1729113202582,67596.02174447977
1729116821759,67624.8457334718
1729120393561,67717.24474102454
1729123301109,67647.54414766871
1729127251857,67696.5070636146
1729130663808,67858.8459657333
1729134149740,67459.34522207073
1729137883086,67575.81038181401
1729141974108,67329.12323409185
1729144943759,67339.18303715023
1729149211508,67108.18186118477
1729152164533,67282.61792681798
1729156642522,67400.56598022403
1729159694652,67260.94179047293
1729163151521,67237.08796399015
1729166869519,66909.04088406198
1729170443905,67111.571368663
1729174772362,66882.70873243679
1729177706255,67027.42751254764
1729180850678,67542.60133051021
1729185576770,67488.37855293385
1729188067290,67264.69569765788
1729192137050,66864.1449497314
1729196186997,66966.57629938495
1729199839679,67020.35821683521
1729202835388,67172.52423732623
1729206629526,67359.62994960629
1729210250095,67384.55328336271
1729213291832,67197.0288096479
1729217125401,68159.48725833799
1729220683334,68012.28921403598
1729224992802,67627.00501851422
1729228539038,67620.13186676119
1729231791510,67971.95582603214
1729234898659,68027.92128729771
1729238731759,67925.13284870295
1729242926368,67931.19325360672
1729245711837,67795.18448256691
1729249734924,67819.1974582885
1729253844627,67786.38362511282
1729256516095,67639.23053305398
1729261065611,68066.05890516771
1729264033456,68419.05017853026
1729267910963,68516.53814816607
1729271007918,68860.81979831123
1729275547032,68674.04930414695
1729278089739,68818.86219394306
1729282549584,68592.18103003321
1729285962884,68374.00849415653
1729289754177,68313.33008540582
1729292631319,68207.84385443444
1729296563517,68465.27205109
1729300344121,68391.47259599468
1729303250423,68322.86508941474
1729307804536,68583.88574548792
1729311427809,68511.12776547814
1729314304518,68328.06231657199
1729318882437,68421.94974335299
1729321376939,68320.54801860373
1729325947980,68369.12306366205
1729328450190,68395.99619757547
1729332115798,68342.70025901824
1729335894080,68235.7274962037
1729339799956,68135.41134585769
1729343447869,68132.86920292098
1729346524753,68109.50900897536
1729350164003,68317.17914416223
1729354568279,68161.66811455165
1729358268187,68086.81749482211
1729361370233,68120.15813192556
1729364973581,68153.76314929451
1729368037622,68180.57948997102
1729372341777,68274.29571728516
1729376207611,68243.4257567939
1729379646133,68292.6510250729
1729383175930,68401.31281361237
1729386497530,68227.12665520306
1729389875860,68142.6398721451
1729393449241,68165.56901678542
1729397339573,68182.19152428264
1729401032656,68258.0593326102
1729404639936,68165.0993531082
1729408287247,68362.4731678283
1729411944392,68369.00506126168
1729415357777,68390.8137461114
1729418542570,68424.8157383145
1729422649969,68364.43077005011
1729426370263,68408.5049535702
1729429459292,68231.41614551644
1729433315881,68507.98878821934
1729436552543,68644.27766821353
1729440701542,68547.21799195738
1729443758850,68483.87886318057
1729448032069,68649.27711834146
1729451032012,68580.24448000027
1729455162175,68506.61626561583
1729458468546,68780.18420051697
1729461676793,68724.29007539265
1729466095869,68928.71558093466
1729469690939,69058.70652244636
1729472510843,69137.43301697387
1729476528364,69227.74861744537
1729480005880,68736.20680857649
1729484059167,68844.45959222123
1729487596150,69038.93052187603
1729491419378,68920.35815282188
1729494273245,68633.65815642751
1729498468196,68587.69386367493
1729501935795,68369.74674265663
1729505440543,68333.41666157664
1729508890469,68206.03304276754
1729513199139,68235.5145983704
1729516545943,68021.73347760204
1729519412405,67337.97630108232
1729523169077,66975.78431429762
1729527510149,67174.30503999282
1729530763572,67568.03190435549
1729534664812,67248.80305011991
1729537299042,67325.92623061893
1729541854275,67606.91706949721
1729544810103,67753.16154794223
1729549125877,67820.6793994581
1729552459126,67537.44761880304
1729555682226,67339.1104733254
1729559594895,67239.8550860165
1729563423525,67580.24290385628
1729566201210,67278.41494349607
1729570198736,67320.72394441451
1729574065059,67568.20534778519
1729577023778,67537.02571810021
1729580618841,67577.7668773518
1729584417007,67234.26289873883
1729588300088,66910.2006392896
1729591647580,66902.83996291434
1729594877948,67106.40216274856
1729598980044,67345.44354606132
1729602517446,66948.48231281895
1729606250830,66852.38488317322
1729609865141,67538.05579463561
1729613461268,67069.73151245776
1729617114159,67154.43722512922
1729620566712,67436.2017958462
1729623984284,67350.6815939495
1729628368493,67461.73394744756
1729630959855,67490.66750716939
1729634558923,67470.38340494373
1729638492478,67671.73452175625
1729642534340,67314.7451642939
1729646302665,67140.00000698502
1729648871516,67291.19684499837
1729653550322,67048.51010304615
1729656494871,67100.35125363844
1729660560341,67132.94101686569
1729663742092,67046.74666265059
1729667259799,66894.49922974805
1729671053256,66988.77646614099
1729675109351,66189.4239095066
1729677707705,66460.79552573431
1729681678861,66404.5869531651
1729685007410,66371.49937035276
1729688696055,66369.29625662921
1729692591990,66651.90713957847
1729695897746,66423.94655262576
1729699790868,66089.26267890583
1729703309922,65730.51055081871
1729707070362,65441.76998856602
1729710636108,66027.65745745016
1729714635837,66273.84074380784
1729717980856,66397.31583836029
1729721867229,66484.57703066358
1729724512149,66422.32396194109
1729728235665,66634.17093344168
1729731772775,67458.1503584916
1729735210332,67173.41752724843
1729738898491,67404.01758647371
1729743429350,67252.0757951814
1729746683960,67317.04786048307
1729750110565,67389.42187998109
1729754000961,67131.71363671799
1729756917867,67036.16238837304
1729760631763,66821.51448200297
1729764736345,66878.10179285394
1729768251337,66953.88643324624
1729771288094,67205.43374233814
1729775645723,67449.14772873698
1729778480328,67886.67114716515
1729782411329,67571.93119914742
1729785700847,67660.36965717719
1729789953150,67512.25922384411
1729793134479,67610.00306414347
1729796651659,67746.53020737754
1729800417879,68217.23463681337
1729804257456,68426.73290868977
1729807707784,68443.44970222126
1729811437633,68188.53369743592
1729815069391,68205.62301532381
1729818200395,67938.9721583514
1729821661730,67917.63585102985
1729825645586,68124.95091589636
1729829667189,67951.99563646557
1729832755419,67701.9444797849
1729836498345,67661.43930132159
1729840228300,67662.07427886529
1729843696308,67403.43814339575
1729847151608,67601.46908367124
1729851085402,67735.93100176468
1729854695156,67813.47011725102
1729858140460,68222.92987414467
1729861419940,68012.58189285669
1729865881588,68430.20743580886
1729869278526,68397.23430928167
1729872225437,67682.76664495179
1729876575025,67704.81748414181
1729880345708,66673.98389972716
1729883457187,67003.29912054565
1729886831108,66742.42521406138
1729890403975,66897.00818917173
1729894662998,67232.5642835183
1729897622821,66765.01694105784
1729901884416,66512.00667219302
1729904677002,66664.15299421665
1729908405098,66510.70501488034
1729912562063,66666.5151392266
1729916324988,66874.42379677511
1729919684423,66906.70575277423
1729923368675,66997.21134106825
1729926877136,67057.26401848508
1729930274310,67002.4134703477
1729934287614,67039.78139077751
1729937074363,66972.31404802136
1729940468785,66964.39115764327
1729944445161,67095.83776283116
1729948054051,66958.97762819503
1729951294685,66807.86173869942
1729955550331,66769.99460630867
1729958757570,66781.57743388906
1729963162180,66915.79257457827
1729966163345,66966.38813873711
1729969686978,66987.78932787797
1729973198308,67092.98400084837
1729977534629,67119.85788900421
1729980202051,67114.26911043038
1729984735254,67019.93019541143
1729988442915,66945.31095116354
1729991564172,66877.16853130824
1729995230621,67009.45163173336
1729998691979,66972.30991923137
1730002453240,67184.77045359413
1730006165807,67088.1564660739
1730009523740,67066.5958568023
1730012564759,67101.76539364202
1730016138573,67114.06573710867
1730020563662,67065.59825096554
1730023715291,67053.76791966317
1730027602499,66964.40047913392
1730031567934,67112.7795863297
1730034301705,67322.75033199451
1730038600337,67535.80160044126
1730042498669,67676.02703728082
1730045255675,67753.01779859755
1730048693862,67747.59234422616
1730054255491,67595.3005653455
1730055631093,67484.21198250225
1730059986490,67723.12721809652
1730063040259,67675.42673447385
1730066780857,68083.01711499192
1730070929571,68199.44025933371
1730074536831,67942.828513585
1730078100652,67777.93650410564
1730081320033,67615.68544870683
1730085387461,67834.09439555898
1730088939653,67707.64055091672
1730092408902,67643.27429103329
1730096006480,67805.66296560635
1730099178897,67977.34084791737
1730102941971,68379.17792304278
1730106259357,68236.23832827214
1730109675366,68493.98057175319
1730114146536,68569.3264986342
1730117205155,68679.73952833364
1730121434462,68968.77774925514
1730124479797,68744.57489908698
1730127798546,68752.59327823325
1730131488795,68417.87983070797
1730135274334,68568.19751325126
1730138917415,68933.88401197261
1730142102210,69193.48926403186
1730145793455,69599.1769120034
1730149889597,69685.47284377206
1730152980282,69744.10082185683
1730157144700,70078.87621953817
1730160550799,69752.77125564878
1730164799935,69811.86283097339
1730167444865,70245.95210991266
1730171197684,71268.18185786504
1730174814955,70882.25948930415
1730178481570,70989.77601886717
1730181799278,70970.06333456477
1730186086865,71077.54851126998
1730189552290,70977.49653052777
1730193295820,71144.57313189295
1730196480326,71212.77211140253
1730200294918,71217.04748530254
1730204201427,71182.77223487874
1730207227482,71094.93359554998
1730210575704,71794.42794122129
1730214513270,71766.83085235531
1730218059050,72403.35451020412
1730221789673,72871.01944628704
1730226022394,72789.96518576762
1730228945766,73295.00588659973
1730232631967,72474.51077613192
1730236076633,72286.14625937898
1730239742000,72216.80618316926
1730243669216,72560.5752049622
1730247521175,72507.95245963264
1730250997419,72078.2970655303
1730253966749,72347.98995082706
1730257304598,72312.7998227552
1730261314322,72192.60041406637
1730265436423,72393.07745076442
1730269130802,72534.19768910302
1730272403586,72368.8918199016
1730275294683,72237.20901679379
1730279733162,72324.76079514054
1730283374181,72487.82049751891
1730286560989,72247.52326808852
1730290695232,72077.56371772558
1730294091404,71771.66789667108
1730297431999,72032.005327307
1730300996280,72345.19272355428
1730304878962,71874.74644406876
1730308674968,71840.60429531842
1730312166152,71965.58017156794
1730315217076,71855.1487893143
1730318746312,71836.31663077752
1730322234567,72859.56560197721
1730326322961,72428.50204743056
1730330158605,72537.38974251907
1730333533059,72388.91590191633
1730337473763,72286.036125685
