Zeit,ethereum
1728954349718,2623.0885149708038
1728957854246,2628.6650867291837
1728961375414,2626.850264134398
1728965001683,2609.781516093456
1728968809528,2611.0686908056864
1728973042078,2594.337259757438
1728976360719,2616.1764361014143
1728980096511,2616.8722734549074
1728983299760,2614.2158526234116
1728987340796,2613.581074198451
1728990265827,2616.4185676006114
1728994379456,2590.1865890892354
1728997651380,2608.5769711797266
1729001782656,2661.7862162733077
1729004788245,2562.4293648915327
1729008997732,2586.534484146833
1729011969636,2592.0311120334095
1729015913593,2590.483535644877
1729019223528,2590.5014233849456
1729023408437,2591.281408050314
1729026566477,2577.0161934994508
1729030493412,2585.61307842012
1729034048702,2592.576357137758
1729037776358,2600.089039689632
1729041030016,2597.3049730613507
1729044874065,2624.3426256060184
1729048391897,2617.857517707163
1729051431527,2617.0648828410876
1729055143525,2614.0670595422644
1729058929978,2616.5599948746976
1729062419618,2606.2990755681667
1729066326541,2608.406036686966
1729069735711,2611.103270877897
1729073365661,2617.8825256959826
1729076767290,2617.494386607731
1729080189464,2631.1612381410655
1729084751540,2627.7979398494335
1729087916641,2626.221744006783
1729090867400,2607.0550990602183
1729095468352,2605.406342534148
1729098137198,2617.8845204757035
1729101676893,2620.2868700819113
1729106004355,2619.691404571454
1729108881524,2614.88609693873
1729113406152,2617.4109340199825
1729116792385,2616.2078630220108
1729120524245,2617.935027632638
1729123316543,2611.700159182395
1729127691842,2619.167362824851
1729130670512,2639.3393079942975
1729134287652,2622.9305710774333
1729137936692,2639.4767635336466
1729142315445,2634.8759184916503
1729144936321,2627.3881309499425
1729149116974,2623.197490023966
1729152497920,2630.2883018700336
1729155657279,2624.7220315835048
1729159611017,2618.412018892404
1729163173443,2612.4024888077092
1729166827935,2600.8544256056966
1729170466972,2613.795571817134
1729174744602,2596.8349258082735
1729177659831,2603.8674314424998
1729180899798,2628.8968820145988
1729185063083,2615.957607180028
1729188799399,2588.0362357750214
1729192170983,2583.59108514242
1729195644503,2601.5420495721555
1729199049121,2597.0551995879337
1729203366341,2608.388372294738
1729206433311,2608.147111956342
1729210232679,2605.2819725096856
1729213348375,2596.8074320489022
1729217119482,2649.8881671577265
1729220438637,2631.913800230506
1729224823498,2614.090838208526
1729228622522,2614.724550354859
1729231696378,2626.0824570635627
1729234955110,2626.989044948383
1729238441221,2632.265303462305
1729242937641,2635.673999707187
1729246357474,2624.6488436834743
1729250396153,2630.9066988088175
1729253895100,2623.7876438673525
1729257277871,2620.10099916916
1729260999377,2623.6723329649344
1729264005046,2644.096185396861
1729267344265,2656.014528081326
1729271964386,2653.1471120075853
1729275559168,2650.3899677898803
1729278125205,2664.5192769172427
1729282340172,2648.721295000776
1729286010140,2641.7936771574737
1729289585633,2639.1238063355336
1729292644009,2636.2886556473672
1729296776401,2638.783914679869
1729300346390,2642.2858501804944
1729303585300,2636.366260061009
1729307863133,2657.232595185218
1729310417358,2648.2408872995957
1729314891618,2645.8445220887525
1729318005118,2644.095368610305
1729321352931,2643.642963342643
1729325862239,2642.5923228694924
1729328990892,2645.8288234186493
1729332368234,2644.8395576154808
1729336161213,2639.7170244865306
1729339790591,2634.3791179193277
1729343325476,2636.092704751086
1729346608329,2635.830413056004
1729350175551,2649.5295966297904
1729353635389,2644.0752764573026
1729358245584,2640.3724837665177
1729361931050,2639.9964697669657
1729364997489,2640.071480954442
1729368523203,2643.038262308463
1729372076200,2646.352392490954
1729375962570,2645.0064811403154
1729379654534,2648.724252705312
1729382897797,2649.8839128860386
1729386434961,2641.660284081539
1729390172531,2642.482696253925
1729393675726,2637.334814321348
1729397009016,2640.686855556675
1729401028640,2644.474001119045
1729404343686,2640.5794353598826
1729408269073,2648.78234340532
1729411920279,2647.8337081093955
1729414902018,2645.8698741710873
1729419056513,2649.657832384914
1729422653509,2646.5439263882113
1729426343153,2652.173327662315
1729429514629,2644.2132058875686
1729433284419,2668.968786002748
1729437182713,2698.2922787535304
1729440047459,2705.209397551483
1729444240493,2694.242828341745
1729448041823,2700.5434330604808
1729451032295,2701.0368519290287
1729455216126,2700.961406299846
1729458549997,2713.2358522062423
1729461873724,2718.4365606864244
1729466071167,2742.3951556376064
1729469521564,2747.235805716809
1729472519005,2745.609697545686
1729476780297,2744.145711838613
1729479976866,2732.024503043153
1729483307434,2733.799968726231
1729486868774,2737.5142373133617
1729491327217,2734.4549150804723
1729494270122,2722.4279769889276
1729498493066,2725.9434798197335
1729501596040,2714.287047452508
1729505227653,2710.5128596497607
1729509108698,2702.3187304946196
1729513025108,2708.1453741077307
1729516608946,2689.9917482327915
1729519874462,2677.5525788912314
1729522902467,2670.2742236831295
1729526493105,2679.61583891821
1729530542252,2669.7157531673092
1729534265294,2668.542201737342
1729538656952,2673.2963553741556
1729541495383,2677.6408708531017
1729544481084,2675.469426020083
1729549149460,2678.097832861862
1729552674040,2670.876495431794
1729556113308,2665.8013460110774
1729560057080,2634.997520144067
1729563157642,2653.7168649202913
1729566838605,2637.8926306467333
1729570356817,2639.7426541451546
1729574197089,2645.2587772069614
1729578038322,2650.3702612912166
1729581600917,2652.8793458155797
1729585190615,2643.5347012998773
1729587719501,2629.4030866915805
1729592311739,2622.965884628184
1729595058265,2631.4164219972845
1729599429031,2637.4436610397397
1729602984720,2621.44765512795
1729606437472,2629.467753652105
1729610035407,2635.0119951873185
1729614037789,2624.8966877467847
1729616642534,2606.2983481176666
1729621055678,2623.069038693384
1729624080140,2620.2580604623367
1729627343626,2627.348441894834
1729630957791,2632.674777964662
1729634475216,2634.46952341613
1729638334180,2638.714988517275
